fly position,center of mass,laser status
172.36,172.36,0
162.42,162.42,0
150.74,150.74,0
144.98,144.98,0
140.29,140.29,0
130.75,130.75,0
115.61,115.61,0
100.98,100.98,0
85.449,85.449,0
76.778,76.778,0
71.625,71.625,0
67.804,67.804,0
65.691,65.691,0
64.138,64.138,0
64.296,64.296,0
66.845,66.845,0
66.086,66.086,0
76.318,76.318,0
67.338,67.338,0
59.578,59.578,0
53.253,53.253,0
49.217,49.217,0
42.995,42.995,0
36.557,36.557,0
34.201,34.201,0
29.863,29.863,0
29.655,29.655,0
27.523,27.523,0
23.773,23.773,0
19.697,19.697,0
16.973,16.973,0
16.973,NaN,0
16.973,NaN,0
16.973,NaN,0
16.973,NaN,0
16.973,NaN,0
16.973,NaN,0
16.973,NaN,0
16.973,NaN,0
16.973,34.957,0
42.786,42.786,0
28.197,28.197,0
28.197,NaN,0
28.197,NaN,0
28.197,NaN,0
28.197,51.945,0
52.799,52.799,0
51.039,51.039,0
53.984,53.984,0
56.864,56.864,0
58.994,58.994,0
59.875,59.875,0
59.875,NaN,0
59.875,NaN,0
59.875,NaN,0
59.875,NaN,0
59.875,NaN,0
59.875,NaN,0
59.875,NaN,0
59.875,NaN,0
59.875,NaN,0
59.875,NaN,0
59.875,58.995,0
58.364,58.364,0
61.409,61.409,0
66.619,66.619,0
66.819,66.819,0
64.525,64.525,0
65.016,65.016,0
71.347,71.347,0
76.999,76.999,0
79.691,79.691,0
84.336,84.336,0
89.835,89.835,0
98.392,98.392,0
104.04,104.04,0
109.58,109.58,0
118.35,118.35,0
126.14,126.14,0
135.29,135.29,0
139.23,139.23,0
144.58,144.58,0
152.99,152.99,0
164.62,164.62,0
176.18,176.18,0
180.26,180.26,0
180.24,180.24,0
181.5,181.5,0
166.96,166.96,0
156.77,156.77,0
168.21,168.21,0
185.33,185.33,0
198.73,198.73,0
210.09,210.09,0
221.14,221.14,0
230.71,230.71,0
240.55,240.55,0
250.9,250.9,0
260.02,260.02,0
264.4,264.4,0
266.97,266.97,0
273.23,273.23,0
283.38,283.38,0
293.19,293.19,0
302.37,302.37,0
307.15,307.15,0
313.74,313.74,0
323.48,323.48,0
326.55,326.55,0
331.54,331.54,0
340.45,340.45,0
352.7,352.7,0
363.46,363.46,0
378.24,378.24,0
385.63,385.63,0
388.07,388.07,0
387.89,387.89,0
387.83,387.83,0
392.01,392.01,0
399.56,399.56,0
410.92,410.92,0
418.56,418.56,0
429.02,429.02,0
440.17,440.17,0
451.52,451.52,0
462.89,462.89,0
476.09,476.09,0
489.79,489.79,0
502.58,502.58,0
503.82,503.82,0
500.86,500.86,0
502.58,502.58,0
506.61,506.61,0
515.58,515.58,0
522.1,522.1,0
531.98,531.98,0
542.67,542.67,0
550,550,0
555.3,555.3,0
567.03,567.03,0
579.3,579.3,0
591.65,591.65,0
606.32,606.32,0
617.79,617.79,0
629.87,629.87,0
626.78,626.78,0
630.74,630.74,0
635.89,635.89,0
643.89,643.89,0
649.22,649.22,0
656.02,656.02,0
665.27,665.27,0
674.45,674.45,0
684.86,684.86,0
694.54,694.54,0
704.37,704.37,0
714.79,714.79,0
720.89,720.89,0
725.79,725.79,0
730.64,730.64,0
736.6,736.6,0
742.6,742.6,0
745.83,745.83,0
746.41,746.41,0
746.89,746.89,0
749.22,749.22,0
753.43,753.43,0
756.08,756.08,0
758.74,758.74,0
760.78,760.78,0
764.52,764.52,0
762.83,762.83,0
761.82,761.82,0
763.17,763.17,0
763.17,NaN,0
763.17,NaN,0
763.17,759.46,0
762.77,762.77,0
762.77,NaN,0
762.77,NaN,0
762.77,NaN,0
762.77,NaN,0
762.77,NaN,0
762.77,NaN,0
762.77,NaN,0
762.77,735.89,0
730.61,730.61,0
726.13,726.13,0
722.36,722.36,0
724.21,724.21,0
720.8,720.8,0
721.62,721.62,0
720.91,720.91,0
719.92,719.92,0
714.56,714.56,0
711.01,711.01,0
707.85,707.85,0
702.57,702.57,0
696.78,696.78,0
689.57,689.57,0
681.07,681.07,0
673.3,673.3,0
666.34,666.34,0
658.76,658.76,0
650.97,650.97,0
643.02,643.02,0
636.57,636.57,0
627.31,627.31,0
618.83,618.83,0
609.67,609.67,0
600.19,600.19,0
589.96,589.96,0
582.76,582.76,0
573.23,573.23,0
561.68,561.68,0
552.66,552.66,0
539.55,539.55,0
529.46,529.46,0
519.62,519.62,0
507.94,507.94,0
498.82,498.82,0
487.28,487.28,0
475.07,475.07,0
464.12,464.12,0
454.88,454.88,0
446.45,446.45,0
435.32,435.32,0
420.52,420.52,0
408.82,408.82,0
394.1,394.1,0
381.83,381.83,0
367.32,367.32,0
355.48,355.48,0
343.25,343.25,0
333.62,333.62,0
325.17,325.17,0
318.84,318.84,0
310.5,310.5,0
303.42,303.42,0
294.5,294.5,0
281.98,281.98,0
268.23,268.23,0
255.64,255.64,0
242,242,0
232.91,232.91,0
222.84,222.84,0
213.19,213.19,0
207.23,207.23,0
204.55,204.55,0
201.39,201.39,0
199.08,199.08,0
195.34,195.34,0
187.3,187.3,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,NaN,0
187.3,223.51,0
204.95,204.95,0
193.45,193.45,0
183.73,183.73,0
172.85,172.85,0
163.26,163.26,0
154.39,154.39,0
145.38,145.38,0
135.22,135.22,0
126.63,126.63,0
116.76,116.76,0
108.47,108.47,0
104.17,104.17,0
93.419,93.419,0
81.804,81.804,0
70.846,70.846,0
59.98,59.98,0
53.467,53.467,0
49.905,49.905,0
47.635,47.635,0
44.641,44.641,0
42.105,42.105,0
40.282,40.282,0
33.275,33.275,0
35.549,35.549,0
37.039,37.039,0
38.023,38.023,0
32.577,32.577,0
31.56,31.56,0
26.819,26.819,0
26.986,26.986,0
21.993,21.993,0
20.549,20.549,0
17.32,17.32,0
17.32,NaN,0
17.32,NaN,0
17.32,NaN,0
17.32,NaN,0
17.32,NaN,0
17.32,NaN,0
17.32,NaN,0
17.32,55.148,0
56.5,56.5,0
54.458,54.458,0
58.22,58.22,0
63.494,63.494,0
61.149,61.149,0
65.182,65.182,0
65.332,65.332,0
67.284,67.284,0
67.284,NaN,0
67.284,NaN,0
67.284,81.264,0
82.365,82.365,0
87.659,87.659,0
92.625,92.625,0
98.82,98.82,0
104.03,104.03,0
104.84,104.84,0
107.63,107.63,0
112.42,112.42,0
119.65,119.65,0
130.69,130.69,0
